iter	Passed	Remaining
0	49	49037
1	49	24866
2	50	16806
3	51	12778
4	52	10360
5	52	8748
6	53	7616
7	54	6767
8	55	6105
9	56	5576
10	57	5142
11	58	4782
12	58	4478
13	59	4216
14	60	3990
15	61	3791
16	62	3618
17	63	3462
18	64	3322
19	65	3198
20	66	3084
21	67	2981
22	67	2885
23	68	2798
24	69	2719
25	70	2645
26	71	2574
27	72	2510
28	73	2451
29	74	2399
30	75	2352
31	76	2306
32	77	2261
33	78	2221
34	79	2182
35	80	2146
36	81	2110
37	82	2077
38	82	2044
39	84	2017
40	85	1989
41	86	1961
42	86	1934
43	87	1907
44	88	1881
45	89	1856
46	90	1832
47	91	1810
48	92	1787
49	93	1767
50	93	1746
51	94	1726
52	95	1708
53	96	1689
54	97	1674
55	98	1657
56	99	1641
57	100	1625
58	100	1610
59	101	1595
60	102	1580
61	103	1566
62	104	1553
63	105	1539
64	106	1527
65	107	1515
66	107	1502
67	108	1484
68	109	1472
69	110	1462
70	110	1452
71	111	1441
72	112	1431
73	113	1421
74	114	1411
75	115	1402
76	116	1393
77	117	1383
78	117	1374
79	118	1366
80	119	1357
81	120	1349
82	121	1341
83	122	1333
84	122	1322
85	123	1314
86	124	1303
87	125	1296
88	125	1288
89	126	1281
90	127	1274
91	128	1267
92	129	1261
93	130	1255
94	131	1249
95	132	1243
96	132	1236
97	133	1230
98	134	1224
99	135	1218
100	136	1213
101	136	1203
102	137	1198
103	138	1192
104	139	1186
105	140	1181
106	140	1176
107	141	1171
108	142	1166
109	143	1160
110	144	1156
111	145	1151
112	146	1146
113	146	1142
114	147	1137
115	148	1131
116	149	1126
117	150	1122
118	150	1116
119	151	1111
120	152	1107
121	153	1102
122	153	1095
123	154	1091
124	155	1087
125	156	1083
126	157	1079
127	157	1073
128	158	1070
129	159	1066
130	160	1063
131	161	1059
132	161	1055
133	162	1052
134	163	1049
135	164	1045
136	165	1042
137	166	1037
138	166	1034
139	167	1030
140	168	1027
141	169	1024
142	170	1021
143	171	1018
144	172	1015
145	173	1012
146	173	1009
147	174	1006
148	175	1003
149	176	999
150	177	997
151	178	993
152	178	990
153	179	987
154	180	985
155	181	982
156	182	979
157	183	976
158	184	973
159	184	970
160	185	968
161	186	965
162	187	962
163	188	959
164	189	957
165	190	954
166	190	952
167	191	949
168	192	947
169	193	944
170	194	942
171	195	940
172	196	937
173	196	934
174	197	932
175	198	930
176	199	927
177	200	925
178	201	922
179	202	920
180	202	916
181	203	913
182	204	911
183	205	909
184	205	907
185	206	904
186	207	902
187	208	900
188	209	898
189	210	896
190	211	893
191	211	891
192	212	889
193	213	887
194	214	885
195	215	883
196	216	881
197	217	879
198	217	877
199	218	875
200	219	873
201	220	871
202	221	869
203	222	867
204	223	865
205	223	863
206	224	861
207	225	859
208	226	857
209	227	855
210	228	853
211	229	851
212	229	849
213	230	847
214	231	845
215	232	843
216	233	842
217	234	840
218	235	838
219	235	836
220	236	834
221	237	832
222	238	830
223	239	829
224	240	827
225	241	825
226	241	823
227	242	821
228	243	819
229	244	817
230	245	816
231	246	814
232	246	812
233	247	811
234	248	809
235	249	807
236	250	805
237	251	803
238	251	802
239	252	800
240	253	798
241	254	796
242	254	794
243	255	792
244	256	789
245	256	787
246	257	785
247	258	783
248	258	781
249	259	778
250	260	776
251	260	774
252	261	772
253	262	769
254	262	767
255	263	765
256	263	762
257	264	760
258	264	758
259	265	755
260	266	753
261	266	751
262	267	748
263	267	746
264	268	744
265	268	742
266	269	740
267	270	737
268	270	735
269	270	732
270	271	730
271	271	727
272	272	725
273	272	723
274	273	720
275	273	718
276	274	715
277	274	713
278	275	711
279	275	709
280	276	706
281	276	704
282	277	702
283	277	699
284	278	697
285	278	695
286	278	692
287	279	690
288	279	687
289	280	685
290	280	683
291	280	680
292	281	678
293	281	676
294	282	673
295	282	671
296	282	669
297	283	667
298	283	665
299	284	662
300	284	660
301	284	658
302	285	656
303	285	654
304	286	651
305	286	649
306	286	647
307	287	645
308	287	643
309	288	641
310	288	639
311	288	637
312	289	635
313	289	632
314	290	630
315	290	628
316	290	626
317	291	624
318	291	622
319	292	620
320	292	618
321	292	616
322	293	614
323	293	612
324	294	610
325	294	608
326	294	606
327	295	604
328	295	603
329	296	601
330	296	599
331	296	597
332	297	595
333	297	593
334	298	591
335	298	589
336	298	588
337	299	586
338	299	584
339	300	582
340	300	581
341	301	579
342	301	577
343	301	575
344	302	573
345	302	572
346	303	570
347	303	568
348	303	566
349	304	565
350	304	563
351	305	561
352	305	560
353	305	558
354	306	556
355	306	554
356	307	553
357	307	551
358	307	549
359	308	548
360	308	546
361	309	544
362	309	543
363	309	541
364	310	539
365	310	538
366	311	536
367	311	535
368	312	533
369	312	532
370	313	530
371	313	529
372	314	527
373	314	526
374	314	524
375	315	523
376	315	521
377	316	520
378	316	518
379	317	517
380	317	515
381	317	514
382	318	512
383	318	511
384	319	509
385	319	508
386	319	506
387	320	505
388	320	503
389	321	502
390	321	500
391	321	499
392	322	497
393	322	496
394	323	494
395	323	493
396	324	492
397	324	490
398	324	489
399	325	488
400	325	486
401	326	485
402	326	483
403	327	482
404	327	480
405	327	479
406	328	478
407	328	476
408	329	475
409	329	474
410	329	472
411	330	471
412	330	469
413	331	468
414	331	467
415	331	465
416	332	464
417	332	463
418	333	461
419	333	460
420	333	459
421	334	457
422	334	456
423	335	455
424	335	454
425	335	452
426	336	451
427	336	450
428	337	448
429	337	447
430	338	446
431	338	445
432	338	443
433	339	442
434	339	441
435	340	440
436	340	438
437	340	437
438	341	436
439	341	435
440	342	433
441	342	432
442	343	431
443	343	430
444	343	428
445	344	427
446	344	426
447	345	425
448	345	424
449	345	422
450	346	421
451	346	420
452	347	419
453	347	417
454	347	416
455	348	415
456	348	414
457	349	413
458	349	412
459	349	410
460	350	409
461	350	408
462	351	407
463	351	406
464	351	404
465	352	403
466	352	402
467	353	401
468	353	400
469	354	399
470	354	398
471	354	396
472	355	395
473	355	394
474	356	393
475	356	392
476	356	391
477	357	390
478	357	389
479	358	387
480	358	386
481	358	385
482	359	384
483	359	383
484	360	382
485	360	381
486	360	380
487	361	379
488	361	377
489	362	376
490	362	375
491	362	374
492	363	373
493	363	372
494	364	371
495	364	370
496	364	369
497	365	368
498	365	367
499	366	366
500	366	364
501	366	363
502	367	362
503	367	361
504	368	360
505	368	359
506	368	358
507	369	357
508	369	356
509	370	355
510	370	354
511	370	353
512	371	352
513	371	351
514	372	350
515	372	349
516	372	348
517	373	347
518	373	346
519	374	345
520	374	344
521	375	343
522	375	342
523	375	341
524	376	340
525	376	339
526	377	338
527	377	337
528	377	336
529	378	335
530	378	334
531	379	333
532	379	332
533	379	331
534	380	330
535	380	329
536	381	328
537	381	327
538	381	326
539	382	325
